Codigo;Municipio;Dengue 2018;Dengue 2019;Total
110001;Alta Floresta D'Oeste;2;232;234
110037;Alto Alegre dos Parecis;2;37;39
110040;Alto Paraíso;6;4;10
110034;Alvorada D'Oeste;-;-;-
110002;Ariquemes;7;28;35
110045;Buritis;107;97;204
110003;Cabixi;4;91;95
110060;Cacaulândia;-;-;-
110004;Cacoal;34;34;68
110070;Campo Novo de Rondônia;4;12;16
110080;Candeias do Jamari;6;7;13
110090;Castanheiras;-;3;3
110005;Cerejeiras;10;14;24
110092;Chupinguaia;-;-;-
110006;Colorado do Oeste;16;10;26
110007;Corumbiara;-;6;6
110008;Costa Marques;-;2;2
110094;Cujubim;1;7;8
110009;Espigão D'Oeste;40;14;54
110100;Governador Jorge Teixeira;1;-;1
110010;Guajará-Mirim;47;8;55
110110;Itapuã do Oeste;1;4;5
110011;Jaru;1;10;11
110012;Ji-Paraná;28;14;42
110013;Machadinho D'Oeste;6;2;8
110120;Ministro Andreazza;-;1;1
110130;Mirante da Serra;-;-;-
110140;Monte Negro;4;13;17
110014;Nova Brasilândia D'Oeste;4;21;25
110033;Nova Mamoré;2;29;31
110143;Nova União;1;1;2
110050;Novo Horizonte do Oeste;-;1;1
110015;Ouro Preto do Oeste;8;13;21
110145;Parecis;3;-;3
110018;Pimenta Bueno;5;11;16
110146;Pimenteiras do Oeste;5;4;9
110020;Porto Velho;123;172;295
110025;Presidente Médici;13;23;36
110147;Primavera de Rondônia;2;2;4
110026;Rio Crespo;3;-;3
110028;Rolim de Moura;10;5;15
110029;Santa Luzia D'Oeste;2;-;2
110148;São Felipe D'Oeste;7;2;9
110149;São Francisco do Guaporé;3;8;11
110032;São Miguel do Guaporé;1;1;2
110150;Seringueiras;6;-;6
110155;Teixeirópolis;-;-;-
110160;Theobroma;-;-;-
110170;Urupá;-;-;-
110175;Vale do Anari;3;2;5
110180;Vale do Paraíso;1;4;5
110030;Vilhena;15;17;32
110000;Município ignorado - RO;-;-;-
120001;Acrelândia;58;8;66
120005;Assis Brasil;4;80;84
120010;Brasiléia;162;347;509
120013;Bujari;8;-;8
120017;Capixaba;16;62;78
120020;Cruzeiro do Sul;1021;2810;3831
120025;Epitaciolândia;40;39;79
120030;Feijó;1216;1;1217
120032;Jordão;-;-;-
120033;Mâncio Lima;605;273;878
120034;Manoel Urbano;184;4;188
120035;Marechal Thaumaturgo;-;9;9
120038;Plácido de Castro;485;117;602
120080;Porto Acre;73;10;83
120039;Porto Walter;3;-;3
120040;Rio Branco;1806;2805;4611
120042;Rodrigues Alves;85;413;498
120043;Santa Rosa do Purus;-;-;-
120050;Sena Madureira;1141;278;1419
120045;Senador Guiomard;23;27;50
120060;Tarauacá;295;1893;2188
120070;Xapuri;155;665;820
120000;Município ignorado - AC;-;-;-
130002;Alvarães;1;3;4
130006;Amaturá;-;-;-
130008;Anamã;-;-;-
130010;Anori;2;-;2
130014;Apuí;-;-;-
130020;Atalaia do Norte;-;11;11
130030;Autazes;-;-;-
130040;Barcelos;1;9;10
130050;Barreirinha;-;-;-
130060;Benjamin Constant;1;396;397
130063;Beruri;-;-;-
130068;Boa Vista do Ramos;1;-;1
130070;Boca do Acre;40;155;195
130080;Borba;8;43;51
130083;Caapiranga;-;-;-
130090;Canutama;-;-;-
130100;Carauari;2;599;601
130110;Careiro;-;-;-
130115;Careiro da Várzea;-;-;-
130120;Coari;15;2;17
130130;Codajás;1;7;8
130140;Eirunepé;-;10;10
130150;Envira;1;-;1
130160;Fonte Boa;-;-;-
130165;Guajará;105;618;723
130170;Humaitá;18;70;88
130180;Ipixuna;-;22;22
130185;Iranduba;-;1;1
130190;Itacoatiara;351;35;386
130195;Itamarati;-;-;-
130200;Itapiranga;1;-;1
130210;Japurá;-;-;-
130220;Juruá;-;-;-
130230;Jutaí;-;-;-
130240;Lábrea;3;1;4
130250;Manacapuru;2;11;13
130255;Manaquiri;-;-;-
130260;Manaus;1297;468;1765
130270;Manicoré;-;-;-
130280;Maraã;-;-;-
130290;Maués;15;4;19
130300;Nhamundá;-;-;-
130310;Nova Olinda do Norte;1;1;2
130320;Novo Airão;-;7;7
130330;Novo Aripuanã;16;14;30
130340;Parintins;7;2;9
130350;Pauini;-;1;1
130353;Presidente Figueiredo;3;48;51
130356;Rio Preto da Eva;3;1;4
130360;Santa Isabel do Rio Negro;-;-;-
130370;Santo Antônio do Içá;-;1;1
130380;São Gabriel da Cachoeira;114;829;943
130390;São Paulo de Olivença;-;5;5
130395;São Sebastião do Uatumã;-;-;-
130400;Silves;-;-;-
130406;Tabatinga;17;382;399
130410;Tapauá;35;15;50
130420;Tefé;274;48;322
130423;Tonantins;-;-;-
130426;Uarini;-;-;-
130430;Urucará;-;2;2
130440;Urucurituba;5;-;5
130000;Município ignorado - AM;-;-;-
140005;Alto Alegre;1;6;7
